start_date,end_date,date,destination,destination_name,origin,origin_name,total_trips,origin_node_id,destination_node_id
2025-09-04,2025-09-11,2025-09-04,115,145,141,139,42.32,145,119
2025-09-04,2025-09-11,2025-09-04,115,145,143,138,620.56,136,119
2025-09-04,2025-09-11,2025-09-04,115,145,145,141,43.45,115,119
2025-09-04,2025-09-11,2025-09-04,115,145,149,112,32.43,40,119
2025-09-04,2025-09-11,2025-09-04,115,145,15,24B,<10,72,119
2025-09-04,2025-09-11,2025-09-04,115,145,44,150,<10,79,119
2025-09-04,2025-09-11,2025-09-04,115,145,50,09,<10,111,119
2025-09-04,2025-09-11,2025-09-04,115,145,52,07,64.92,78,119
2025-09-04,2025-09-11,2025-09-04,115,145,53,21B,<10,154,119
2025-09-04,2025-09-11,2025-09-04,115,145,54,70B,14.58,147,119
2025-09-04,2025-09-11,2025-09-04,115,145,59,49F,<10,60,119
2025-09-04,2025-09-11,2025-09-04,116,146,105,135,<10,43,124
2025-09-04,2025-09-11,2025-09-04,116,146,107,134,<10,133,124
2025-09-04,2025-09-11,2025-09-04,116,146,109,136,<10,130,124
2025-09-04,2025-09-11,2025-09-04,116,146,112,144,<10,149,124
2025-09-04,2025-09-11,2025-09-04,116,146,115,145,17.89,119,124
2025-09-04,2025-09-11,2025-09-04,116,146,116,146,36.54,124,124
2025-09-04,2025-09-11,2025-09-04,116,146,136,143,<10,109,124
2025-09-04,2025-09-11,2025-09-04,116,146,141,139,<10,145,124
2025-09-04,2025-09-11,2025-09-04,116,146,143,138,<10,136,124
2025-09-04,2025-09-11,2025-09-04,116,146,15,24B,<10,72,124
2025-09-04,2025-09-11,2025-09-04,116,146,53,21B,<10,154,124
2025-09-04,2025-09-11,2025-09-04,117,123,106,130,<10,41,128
2025-09-04,2025-09-11,2025-09-04,117,123,121,133,<10,140,128
2025-09-04,2025-09-11,2025-09-04,117,123,134,127,<10,107,128
2025-09-04,2025-09-11,2025-09-04,117,123,135,132,<10,105,128
2025-09-04,2025-09-11,2025-09-04,117,123,136,143,<10,109,128
2025-09-04,2025-09-11,2025-09-04,117,123,137,137,11.98,137,128
2025-09-04,2025-09-11,2025-09-04,117,123,141,139,<10,145,128
2025-09-04,2025-09-11,2025-09-04,117,123,143,138,<10,136,128
2025-09-04,2025-09-11,2025-09-04,117,123,52,07,39.42,78,128
2025-09-04,2025-09-11,2025-09-04,117,123,54,70B,<10,147,128
2025-09-04,2025-09-11,2025-09-04,118,148,53,21B,<10,154,120
2025-09-04,2025-09-11,2025-09-04,119,115,106,130,24.58,41,122
2025-09-04,2025-09-11,2025-09-04,119,115,113,142,<10,45,122
2025-09-04,2025-09-11,2025-09-04,119,115,119,115,<10,122,122
2025-09-04,2025-09-11,2025-09-04,119,115,127,110,<10,134,122
2025-09-04,2025-09-11,2025-09-04,119,115,135,132,12.06,105,122
2025-09-04,2025-09-11,2025-09-04,119,115,136,143,<10,109,122
2025-09-04,2025-09-11,2025-09-04,119,115,137,137,<10,137,122
2025-09-04,2025-09-11,2025-09-04,119,115,141,139,<10,145,122
2025-09-04,2025-09-11,2025-09-04,119,115,143,138,<10,136,122
2025-09-04,2025-09-11,2025-09-04,119,115,149,112,12.54,40,122
2025-09-04,2025-09-11,2025-09-04,119,115,44,150,<10,79,122
2025-09-04,2025-09-11,2025-09-04,119,115,50,09,10.12,111,122
2025-09-04,2025-09-11,2025-09-04,119,115,52,07,45.06,78,122
2025-09-04,2025-09-11,2025-09-04,119,115,59,49F,10.07,60,122
2025-09-04,2025-09-11,2025-09-04,120,118,52,07,<10,78,129
2025-09-04,2025-09-11,2025-09-04,121,133,100,68A,<10,2,140
2025-09-04,2025-09-11,2025-09-04,121,133,134,127,<10,107,140
2025-09-04,2025-09-11,2025-09-04,121,133,52,07,<10,78,140
2025-09-04,2025-09-11,2025-09-04,122,119,136,143,<10,109,39
2025-09-04,2025-09-11,2025-09-04,122,119,137,137,<10,137,39
2025-09-04,2025-09-11,2025-09-04,122,119,141,139,<10,145,39
2025-09-04,2025-09-11,2025-09-04,122,119,143,138,<10,136,39
2025-09-04,2025-09-11,2025-09-04,122,119,52,07,14.71,78,39
2025-09-04,2025-09-11,2025-09-04,127,110,109,136,<10,130,134
