start_date,end_date,date,destination,destination_name,origin,origin_name,total_trips
2025-09-04,2025-09-11,2025-09-04,112,144,109,136,17.55
2025-09-04,2025-09-11,2025-09-04,112,144,112,144,646.03
2025-09-04,2025-09-11,2025-09-04,112,144,115,145,662.08
2025-09-04,2025-09-11,2025-09-04,112,144,116,146,<10
2025-09-04,2025-09-11,2025-09-04,112,144,136,143,<10
2025-09-04,2025-09-11,2025-09-04,112,144,53,21B,<10
2025-09-04,2025-09-11,2025-09-04,112,144,92,37F,<10
2025-09-04,2025-09-11,2025-09-04,112,144,94,06A,<10
2025-09-04,2025-09-11,2025-09-04,112,144,96,69B,<10
2025-09-04,2025-09-11,2025-09-04,113,142,1,25,<10
2025-09-04,2025-09-11,2025-09-04,113,142,102,63B,<10
2025-09-04,2025-09-11,2025-09-04,113,142,104,61,<10
2025-09-04,2025-09-11,2025-09-04,113,142,105,135,105.1
2025-09-04,2025-09-11,2025-09-04,113,142,107,134,25.81
2025-09-04,2025-09-11,2025-09-04,113,142,109,136,<10
2025-09-04,2025-09-11,2025-09-04,113,142,113,142,12.88
2025-09-04,2025-09-11,2025-09-04,113,142,115,145,20.51
2025-09-04,2025-09-11,2025-09-04,113,142,116,146,<10
2025-09-04,2025-09-11,2025-09-04,113,142,142,131,<10
2025-09-04,2025-09-11,2025-09-04,113,142,144,128,29.27
2025-09-04,2025-09-11,2025-09-04,113,142,148,51F,10.53
2025-09-04,2025-09-11,2025-09-04,113,142,15,24B,<10
2025-09-04,2025-09-11,2025-09-04,113,142,33,21A,<10
2025-09-04,2025-09-11,2025-09-04,113,142,40,149,<10
2025-09-04,2025-09-11,2025-09-04,113,142,51,06B,<10
2025-09-04,2025-09-11,2025-09-04,113,142,53,21B,55.8
2025-09-04,2025-09-11,2025-09-04,113,142,54,70B,11.28
2025-09-04,2025-09-11,2025-09-04,113,142,56,69A,19.52
2025-09-04,2025-09-11,2025-09-04,113,142,58,01,<10
